company_id,corp_code,stock_code,rcept_no,corp_cls,corp_name,flr_nm,rcept_dt,report_nm,rm,viewer_url
nongshim,00108241,004370,20260311003892,Y,농심,농심,20260311,사업보고서 (2025.12),연,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260311003892
ottogi,00141529,007310,20260318000621,Y,오뚜기,오뚜기,20260318,사업보고서 (2025.12),연,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318000621
samyang_foods,00126955,003230,20260318001082,Y,삼양식품,삼양식품,20260318,사업보고서 (2025.12),연,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318001082
orion,01238169,271560,20260318001320,Y,오리온,오리온,20260318,사업보고서 (2025.12),연,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318001320
samyang_foods,00126955,003230,20260513000571,Y,삼양식품,삼양식품,20260513,분기보고서 (2026.03),,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260513000571
orion,01238169,271560,20260515000512,Y,오리온,오리온,20260515,분기보고서 (2026.03),,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260515000512
nongshim,00108241,004370,20260515000865,Y,농심,농심,20260515,분기보고서 (2026.03),,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260515000865
ottogi,00141529,007310,20260515001174,Y,오뚜기,오뚜기,20260515,분기보고서 (2026.03),,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260515001174
