company_id,display_name,name_zh,name_ko,exchange,ticker,baostock_code,fiscal_year,quarter,stat_date,publication_date,reporting_currency,financial_data_status,collection_error,profit_MBRevenue,profit_netProfit,profit_roeAvg,profit_npMargin,profit_gpMargin,growth_YOYNI,growth_YOYEquity,growth_YOYAsset,balance_currentRatio,balance_quickRatio,balance_cashRatio,balance_liabilityToAsset,cash_flow_CFOToOR,cash_flow_CFOToNP,revenue_yoy_calculated,net_profit_yoy_calculated,official_filing_url,retrieved_at_utc,balance_YOYLiability,balance_assetToEquity,cash_flow_CAToAsset,cash_flow_CFOToGr,cash_flow_NCAToAsset,cash_flow_ebitToInterest,cash_flow_tangibleAssetToAsset,growth_YOYEPSBasic,growth_YOYPNI,operation_AssetTurnRatio,operation_CATurnRatio,operation_INVTurnDays,operation_INVTurnRatio,operation_NRTurnDays,operation_NRTurnRatio,profit_epsTTM,profit_liqaShare,profit_totalShare
kingnet,Kingnet,恺英网络,카이잉네트워크,SZSE,002517,sz.002517,2024,4,2024-12-31,2025-04-26,CNY,collected_baostock,,5118176418.27,1627575293.28,0.276199,0.317998,0.812751,0.029712,0.24865,0.21421,3.68443,3.666581,2.387941,0.001843,0.342663,1.077562,0.19155094305808662,0.02971157615843323,https://static.cninfo.com.cn/finalpage/2026-04-29/1225225838.PDF,2026-07-27T07:01:29.504301Z,0.078495,1.226004,0.634228,0.342663,0.365772,,0.639702,0.1,0.114084,0.699362,1.061823,8.312629,43.307636,69.010568,5.216592,0.756543,1906908123.0,2152517634.0
kingnet,Kingnet,恺英网络,카이잉네트워크,SZSE,002517,sz.002517,2025,4,2025-12-31,2026-04-29,CNY,collected_baostock,,5324977767.36,1902212560.9,0.231442,0.357225,0.808401,0.16874,0.512244,0.628781,2.495222,2.477055,1.74564,0.242735,0.424915,1.18949,0.040405279574145636,0.16874013064337712,https://static.cninfo.com.cn/finalpage/2026-04-29/1225225838.PDF,2026-07-27T07:01:29.504301Z,1.144716,1.320541,0.477366,0.424915,0.522634,,0.623006,0.155844,0.168965,0.504747,0.939873,12.367054,29.109563,65.516668,5.494785,0.891026,1889072348.0,2136443234.0
gbits,G-bits,吉比特,지비트,SSE,603444,sh.603444,2022,4,2022-12-31,2023-03-31,CNY,collected_baostock,,5153365114.47,1959497678.34,0.341371,0.379188,0.887349,0.118092,-0.131307,-0.086278,2.116881,2.116881,1.92723,0.274392,0.339111,0.894308,,,https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260326/8d926b94356447d9a00a195d88b41b9d.PDF,2026-07-27T07:01:29.504301Z,-0.128562,1.378155,0.551406,0.339111,0.448594,,0.585467,-0.004895,-0.005191,0.760296,1.302766,,,19.467793,18.49208,20.327619,71866482.0,71866482.0
gbits,G-bits,吉比特,지비트,SSE,603444,sh.603444,2023,4,2023-12-31,2024-03-29,CNY,collected_baostock,,4168662403.58,1461092433.33,0.266535,0.349138,0.885323,-0.254354,0.121925,0.022549,2.925713,2.925713,2.703841,0.209313,0.283284,0.81138,-0.1910795546244296,-0.25435357771499223,https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260326/8d926b94356447d9a00a195d88b41b9d.PDF,2026-07-27T07:01:29.504301Z,-0.219974,1.264723,0.574331,0.283284,0.425669,,0.645941,-0.231185,-0.229832,0.637585,1.132486,,,21.654643,16.62461,15.61774,72041101.0,72041101.0
gbits,G-bits,吉比特,지비트,SSE,603444,sh.603444,2024,4,2024-12-31,2025-03-28,CNY,collected_baostock,,3677664287.59,1178927357.69,0.201778,0.319001,0.878648,-0.193119,0.098175,0.04321,3.500693,3.500693,3.010633,0.001863,0.337864,1.05913,-0.11778313244275573,-0.19311925050279866,https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260326/8d926b94356447d9a00a195d88b41b9d.PDF,2026-07-27T07:01:29.504301Z,-0.071328,1.229002,0.61945,0.337864,0.38055,,0.682362,-0.158669,-0.16016,0.545073,0.912459,,,19.954603,18.040951,13.116398,72041101.0,72041101.0
gbits,G-bits,吉比特,지비트,SSE,603444,sh.603444,2025,4,2025-12-31,2026-03-27,CNY,collected_baostock,,6204659480.39,2145860170.09,0.344515,0.345847,0.939014,0.82018,0.124142,0.245336,3.014419,3.014419,2.699693,0.002416,0.450602,1.302896,0.6871195941748012,0.8201801460393761,https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260326/8d926b94356447d9a00a195d88b41b9d.PDF,2026-07-27T07:01:29.504301Z,0.614608,1.318537,0.682262,0.450602,0.317738,,0.6142,0.893536,0.898221,0.798248,1.220026,,,14.628272,24.609878,24.897816,72041101.0,72041101.0
thirty_seven_interactive,37 Interactive Entertainment,三七互娱,37인터랙티브엔터테인먼트,SZSE,002555,sz.002555,2022,4,2022-12-31,2023-04-28,CNY,partial_baostock,query_profit_data returned no row for sz.002555 2022Q4 | query_operation_data returned no row for sz.002555 2022Q4 | query_growth_data returned no row for sz.002555 2022Q4,,,,,,,,,2.438477,2.438477,1.824846,0.279777,0.216821,1.222507,,,https://static.cninfo.com.cn/finalpage/2026-04-17/1225109788.PDF,2026-07-27T07:01:29.504301Z,0.336004,1.38846,0.619289,0.216821,0.380711,,0.549959,,,,,,,,,,,
thirty_seven_interactive,37 Interactive Entertainment,三七互娱,37인터랙티브엔터테인먼트,SZSE,002555,sz.002555,2023,4,2023-12-31,2024-04-20,CNY,collected_baostock,,16546871737.85,2633527142.17,0.213623,0.159156,0.795032,-0.094928,0.04292,0.119295,1.883432,1.883432,1.388793,0.330407,0.190189,1.19499,,,https://static.cninfo.com.cn/finalpage/2026-04-17/1225109788.PDF,2026-07-27T07:01:29.504301Z,0.321921,1.493444,0.581295,0.190189,0.418705,,0.519685,-0.104478,-0.100125,0.913456,1.524402,,,31.686332,11.361365,1.198707,1607348471.0,2217864281.0
thirty_seven_interactive,37 Interactive Entertainment,三七互娱,37인터랙티브엔터테인먼트,SZSE,002555,sz.002555,2024,4,2024-12-31,2025-04-19,CNY,collected_baostock,,17292612326.74,2664300958.37,0.208604,0.152761,0.786333,0.011685,0.016824,0.023421,1.600111,1.600111,1.131471,0.003353,0.171893,1.125242,0.04506837308614431,0.011685399291021747,https://static.cninfo.com.cn/finalpage/2026-04-17/1225109788.PDF,2026-07-27T07:01:29.504301Z,0.038578,1.504439,0.52778,0.171893,0.47222,,0.477078,0.008333,0.005436,0.90094,1.625577,,,27.782211,12.957932,1.205223,1604593893.0,2217864281.0
thirty_seven_interactive,37 Interactive Entertainment,三七互娱,37인터랙티브엔터테인먼트,SZSE,002555,sz.002555,2025,4,2025-12-31,2026-04-17,CNY,collected_baostock,,15965709257.73,2898945699.72,0.219258,0.181573,0.758589,0.08807,0.04748,0.13954,1.259906,1.204346,0.859465,0.387434,0.221621,1.220559,-0.07673236662792571,0.08806990839861939,https://static.cninfo.com.cn/finalpage/2026-04-17/1225109788.PDF,2026-07-27T07:01:29.504301Z,0.316718,1.632477,0.482641,0.221621,0.517359,,0.464223,0.090909,0.085,0.762124,1.512935,44.361199,8.115189,26.316972,13.679385,1.310993,1587358849.0,2212237681.0
