company_id,company_name,corp_code,stock_code,market,fy2025_revenue_krw,q1_2026_revenue_krw,q1_2025_revenue_krw,fy2025_operating_profit_krw,q1_2026_operating_profit_krw,q1_2025_operating_profit_krw,fy2025_net_income_krw,q1_2026_net_income_krw,q1_2025_net_income_krw,fy2025_assets_krw,q1_2026_assets_krw,fy2025_liabilities_krw,q1_2026_liabilities_krw,fy2025_equity_krw,q1_2026_equity_krw,q1_2026_cash_krw,fy2025_operating_margin_pct,q1_2025_operating_margin_pct,q1_2026_operating_margin_pct,q1_revenue_yoy_pct,q1_operating_profit_change_krw,q1_operating_profit_change_pct,q1_profit_direction,q1_2026_debt_to_equity_pct,q1_2026_equity_ratio_pct,q1_2026_cash_to_assets_pct
com2us,Com2uS,00476498,078340,KOSDAQ,696423825349.0,144732383074.0,168004789392.0,2633918673.0,5136396025.0,1673617444.0,9363716654.0,-7788007188.0,2047565907.0,1615624150416.0,1555551713661.0,546524438711.0,509337793784.0,1069099711705.0,1046213919877.0,156316539676.0,0.3782062843240695,0.996172460354689,3.5488920419239003,-13.852227905062437,3462778581.0,206.90382939149146,Improved,48.683905280468956,67.25677524501769,10.048945226520829
devsisters,Devsisters,01008762,194480,KOSDAQ,295578347074.0,58471497546.0,89082593293.0,6350198195.0,-17373679304.0,9408349968.0,10804699019.0,-15088127742.0,10158252932.0,302727136909.0,292948584172.0,133273486321.0,138168747789.0,169453650588.0,154779836383.0,9217272810.0,2.148397627181461,10.561378626523771,-29.713073947408287,-34.36260061078103,-26782029272.0,-284.66234103846,Turned to loss,89.26792469731254,52.83515427134597,3.14637902622128
krafton,KRAFTON,00760971,259960,KOSPI,3326553694966.0,1371415007891.0,874184373846.0,1054380980188.0,561563204569.0,457276029726.0,733703643561.0,514095420909.0,371459825860.0,9433648042482.0,9831324131291.0,2249503836253.0,2371875545122.0,7184144206229.0,7459448586169.0,678718747724.0,31.695895418239346,52.30887709811153,40.94772197604775,56.87937795746899,104287174843.0,22.806175715243356,Improved,31.79692865662796,75.87430224609493,6.903635142735082
kakao_games,Kakao Games,01137383,293490,KOSDAQ,465018566528.0,82925831048.0,122854093781.0,-39590701112.0,-25459591902.0,-12440478072.0,-143084637075.0,-39503648130.0,-33427927058.0,2676774444103.0,2578089448972.0,1478800075861.0,1480850498393.0,1197974368242.0,1097238950579.0,530422661776.0,-8.513789332670902,-10.126221836918536,-30.70164215449733,-32.50055533694808,-13019113830.0,-104.65123409768589,Deteriorated,134.96153209030473,42.56015829925988,20.574253619768832
ncsoft,NC,00261443,036570,KOSPI,1506925065850.0,557383155711.0,360277552006.0,16078426029.0,113276557964.0,5219932730.0,347421554268.0,152428278053.0,37506771591.0,4333140469623.0,4583589757219.0,962709640428.0,1041851466719.0,3370430829195.0,3541738290500.0,1055858195992.0,1.0669691807091124,1.4488642717082378,20.322924509533124,54.70937687000755,108056625234.0,2070.076968865459,Improved,29.416387696221285,77.26996694941735,23.03561732000685
netmarble,Netmarble,00904672,251270,KOSPI,2835074411896.0,651726759308.0,623876973162.0,352478352483.0,53053513568.0,49710408219.0,230818642770.0,210937629764.0,80248406228.0,8093652130179.0,8321646817078.0,2601169252988.0,2509930486797.0,5492482877191.0,5811716330281.0,756357438939.0,12.432772522795076,7.96798252819821,8.140453466163018,4.463986866649162,3343105349.0,6.725161729253752,Improved,43.18742251268212,69.83853626609068,9.089035566695458
pearl_abyss,Pearl Abyss,01152470,263750,KOSDAQ,365564943738.0,328498582055.0,63225130890.0,-14807541404.0,212096469757.0,7862878827.0,-8414919237.0,157968989814.0,499252430.0,1149099301311.0,1413797528541.0,349996486912.0,452057677329.0,799102814399.0,961739851212.0,145137704768.0,-4.0505911897866635,12.436318780707548,64.56541408190584,419.569635413688,204233590930.0,2597.440395859734,Improved,47.00415364501218,68.02528875577319,10.265805522929305
wemade,WEMADE,00444329,112040,KOSDAQ,614039504365.0,153324403049.0,141833424712.0,10678082423.0,8488266895.0,-11336568831.0,-27040443605.0,19927733853.0,-20621455797.0,1745649917765.0,1770404924626.0,932994067295.0,970774266519.0,812655850470.0,799630658107.0,357969626037.0,1.738989486359283,-7.992875342338719,5.536148666619812,8.101742138944342,19824835726.0,174.87509687930196,Turned profitable,121.40283225472565,45.1665405458541,20.21964698909892
