company_id,edinet_code,doc_id,doc_type_code,doc_description,submit_date_time,period_start,period_end,xbrl_flag,pdf_flag
capcom,E02417,S100R0IV,120,有価証券報告書－第44期(2022/04/01－2023/03/31),2023-06-21 11:51,2022-04-01,2023-03-31,1,1
capcom,E02417,S100TP9X,120,有価証券報告書－第45期(2023/04/01－2024/03/31),2024-06-21 13:08,2023-04-01,2024-03-31,1,1
capcom,E02417,S100W1FF,120,有価証券報告書－第46期(2024/04/01－2025/03/31),2025-06-23 11:37,2024-04-01,2025-03-31,1,1
capcom,E02417,S100YCGO,120,有価証券報告書－第47期(2025/04/01－2026/03/31),2026-06-16 16:16,2025-04-01,2026-03-31,1,1
