company_id,company_name,corp_code,stock_code,reporting_currency,period_label,business_year,report_code,report_name,rcept_no,fs_div,fs_nm,sj_div,sj_nm,account_nm,bfefrmtrm_amount,bfefrmtrm_dt,bfefrmtrm_nm,bsns_year,currency,frmtrm_add_amount,frmtrm_amount,frmtrm_dt,frmtrm_nm,ord,reprt_code,source_endpoint,thstrm_add_amount,thstrm_amount,thstrm_dt,thstrm_nm
hybe,HYBE,01204056,352820,KRW,Q1_2026,2026,11013,First-quarter report,20260515001930,CFS,연결재무제표,BS,재무상태표,유동자산,,,,2026,KRW,,"2,363,993,529,000",2025.12.31 현재,제 21 기말,1,11013,fnlttSinglAcnt,,"2,655,436,876,000",2026.03.31 현재,제 22 기1분기말
hybe,HYBE,01204056,352820,KRW,Q1_2026,2026,11013,First-quarter report,20260515001930,CFS,연결재무제표,BS,재무상태표,비유동자산,,,,2026,KRW,,"3,121,480,914,000",2025.12.31 현재,제 21 기말,3,11013,fnlttSinglAcnt,,"3,270,551,454,000",2026.03.31 현재,제 22 기1분기말
hybe,HYBE,01204056,352820,KRW,Q1_2026,2026,11013,First-quarter report,20260515001930,CFS,연결재무제표,BS,재무상태표,자산총계,,,,2026,KRW,,"5,485,474,443,000",2025.12.31 현재,제 21 기말,5,11013,fnlttSinglAcnt,,"5,925,988,330,000",2026.03.31 현재,제 22 기1분기말
hybe,HYBE,01204056,352820,KRW,Q1_2026,2026,11013,First-quarter report,20260515001930,CFS,연결재무제표,BS,재무상태표,유동부채,,,,2026,KRW,,"734,356,143,000",2025.12.31 현재,제 21 기말,7,11013,fnlttSinglAcnt,,"1,172,924,383,000",2026.03.31 현재,제 22 기1분기말
hybe,HYBE,01204056,352820,KRW,Q1_2026,2026,11013,First-quarter report,20260515001930,CFS,연결재무제표,BS,재무상태표,비유동부채,,,,2026,KRW,,"1,199,661,835,000",2025.12.31 현재,제 21 기말,9,11013,fnlttSinglAcnt,,"1,145,231,368,000",2026.03.31 현재,제 22 기1분기말
hybe,HYBE,01204056,352820,KRW,Q1_2026,2026,11013,First-quarter report,20260515001930,CFS,연결재무제표,BS,재무상태표,부채총계,,,,2026,KRW,,"1,934,017,978,000",2025.12.31 현재,제 21 기말,11,11013,fnlttSinglAcnt,,"2,318,155,751,000",2026.03.31 현재,제 22 기1분기말
hybe,HYBE,01204056,352820,KRW,Q1_2026,2026,11013,First-quarter report,20260515001930,CFS,연결재무제표,BS,재무상태표,자본금,,,,2026,KRW,,"21,304,598,000",2025.12.31 현재,제 21 기말,13,11013,fnlttSinglAcnt,,"21,551,125,000",2026.03.31 현재,제 22 기1분기말
hybe,HYBE,01204056,352820,KRW,Q1_2026,2026,11013,First-quarter report,20260515001930,CFS,연결재무제표,BS,재무상태표,이익잉여금,,,,2026,KRW,,"1,154,720,769,000",2025.12.31 현재,제 21 기말,17,11013,fnlttSinglAcnt,,"974,753,011,000",2026.03.31 현재,제 22 기1분기말
hybe,HYBE,01204056,352820,KRW,Q1_2026,2026,11013,First-quarter report,20260515001930,CFS,연결재무제표,BS,재무상태표,자본총계,,,,2026,KRW,,"3,551,456,465,000",2025.12.31 현재,제 21 기말,21,11013,fnlttSinglAcnt,,"3,607,832,579,000",2026.03.31 현재,제 22 기1분기말
hybe,HYBE,01204056,352820,KRW,Q1_2026,2026,11013,First-quarter report,20260515001930,CFS,연결재무제표,IS,손익계산서,매출액,,,,2026,KRW,"500,613,449,000","500,613,449,000",2025.01.01 ~ 2025.03.31,제 21 기1분기,23,11013,fnlttSinglAcnt,"698,348,369,000","698,348,369,000",2026.01.01 ~ 2026.03.31,제 22 기1분기
