company_id,company_name,corp_code,stock_code,reporting_currency,period_label,business_year,report_code,report_name,rcept_no,sj_div,sj_nm,account_id,account_nm,account_detail,bfefrmtrm_amount,bfefrmtrm_nm,bsns_year,currency,frmtrm_add_amount,frmtrm_amount,frmtrm_nm,frmtrm_q_amount,frmtrm_q_nm,ord,reprt_code,source_endpoint,thstrm_add_amount,thstrm_amount,thstrm_nm
hybe,HYBE,01204056,352820,KRW,FY2025,2025,11011,Annual report,20260320000802,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,101211837000,제 19 기,2025,KRW,,96950361000,제 20 기,,,27,11011,fnlttSinglAcntAll,,87020734000,제 21 기
hybe,HYBE,01204056,352820,KRW,FY2025,2025,11011,Annual report,20260320000802,BS,재무상태표,ifrs-full_RightofuseAssets,사용권자산,-,193677911000,제 19 기,2025,KRW,,258439835000,제 20 기,,,28,11011,fnlttSinglAcntAll,,220967179000,제 21 기
hybe,HYBE,01204056,352820,KRW,FY2025,2025,11011,Annual report,20260320000802,BS,재무상태표,ifrs-full_Equity,자본 총계,-,3109914968000,제 19 기,2025,KRW,,3513778658000,제 20 기,,,30,11011,fnlttSinglAcntAll,,3551456465000,제 21 기
hybe,HYBE,01204056,352820,KRW,FY2025,2025,11011,Annual report,20260320000802,BS,재무상태표,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유지분,-,2919398369000,제 19 기,2025,KRW,,3214652758000,제 20 기,,,31,11011,fnlttSinglAcntAll,,3257026727000,제 21 기
hybe,HYBE,01204056,352820,KRW,FY2025,2025,11011,Annual report,20260320000802,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본,-,92267659000,제 19 기,2025,KRW,,128782288000,제 20 기,,,32,11011,fnlttSinglAcntAll,,182258060000,제 21 기
hybe,HYBE,01204056,352820,KRW,FY2025,2025,11011,Annual report,20260320000802,BS,재무상태표,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,-,-136407971000,제 19 기,2025,KRW,,142108454000,제 20 기,,,33,11011,fnlttSinglAcntAll,,162028003000,제 21 기
hybe,HYBE,01204056,352820,KRW,FY2025,2025,11011,Annual report,20260320000802,BS,재무상태표,ifrs-full_IssuedCapital,자본금,-,20826049000,제 19 기,2025,KRW,,20826049000,제 20 기,,,34,11011,fnlttSinglAcntAll,,21304598000,제 21 기
hybe,HYBE,01204056,352820,KRW,FY2025,2025,11011,Annual report,20260320000802,BS,재무상태표,ifrs-full_RetainedEarnings,이익잉여금,-,1420376781000,제 19 기,2025,KRW,,1400600116000,제 20 기,,,35,11011,fnlttSinglAcntAll,,1154720769000,제 21 기
hybe,HYBE,01204056,352820,KRW,FY2025,2025,11011,Annual report,20260320000802,BS,재무상태표,ifrs-full_SharePremium,주식발행초과금,-,1522335851000,제 19 기,2025,KRW,,1522335851000,제 20 기,,,36,11011,fnlttSinglAcntAll,,1736715297000,제 21 기
hybe,HYBE,01204056,352820,KRW,FY2025,2025,11011,Annual report,20260320000802,BS,재무상태표,ifrs-full_NoncontrollingInterests,비지배지분,-,190516599000,제 19 기,2025,KRW,,299125900000,제 20 기,,,37,11011,fnlttSinglAcntAll,,294429738000,제 21 기
hybe,HYBE,01204056,352820,KRW,FY2025,2025,11011,Annual report,20260320000802,BS,재무상태표,ifrs-full_EquityAndLiabilities,부채와 자본 총계,-,5345681487000,제 19 기,2025,KRW,,5479186860000,제 20 기,,,38,11011,fnlttSinglAcntAll,,5485474443000,제 21 기
hybe,HYBE,01204056,352820,KRW,FY2025,2025,11011,Annual report,20260320000802,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,1772168712000,제 19 기,2025,KRW,,830931772000,제 20 기,,,40,11011,fnlttSinglAcntAll,,734356143000,제 21 기
hybe,HYBE,01204056,352820,KRW,FY2025,2025,11011,Annual report,20260320000802,BS,재무상태표,dart_CurrentPortionOfConvertibleBonds,유동성전환사채,-,358690105000,제 19 기,2025,KRW,,186359000,제 20 기,,,41,11011,fnlttSinglAcntAll,,0,제 21 기
hybe,HYBE,01204056,352820,KRW,FY2025,2025,11011,Annual report,20260320000802,BS,재무상태표,dart_ShortTermTradePayables,매입채무,-,22935186000,제 19 기,2025,KRW,,33046028000,제 20 기,,,42,11011,fnlttSinglAcntAll,,56053974000,제 21 기
hybe,HYBE,01204056,352820,KRW,FY2025,2025,11011,Annual report,20260320000802,BS,재무상태표,ifrs-full_CurrentLeaseLiabilities,리스부채,-,31526889000,제 19 기,2025,KRW,,35733078000,제 20 기,,,43,11011,fnlttSinglAcntAll,,37304348000,제 21 기
hybe,HYBE,01204056,352820,KRW,FY2025,2025,11011,Annual report,20260320000802,BS,재무상태표,ifrs-full_CurrentPortionOfLongtermBorrowings,유동성장기부채,-,366587500000,제 19 기,2025,KRW,,100000000000,제 20 기,,,44,11011,fnlttSinglAcntAll,,0,제 21 기
hybe,HYBE,01204056,352820,KRW,FY2025,2025,11011,Annual report,20260320000802,BS,재무상태표,ifrs-full_CurrentProvisions,충당부채,-,0,제 19 기,2025,KRW,,0,제 20 기,,,45,11011,fnlttSinglAcntAll,,164870000,제 21 기
hybe,HYBE,01204056,352820,KRW,FY2025,2025,11011,Annual report,20260320000802,BS,재무상태표,ifrs-full_CurrentTaxLiabilities,당기법인세부채,-,61883741000,제 19 기,2025,KRW,,46243595000,제 20 기,,,46,11011,fnlttSinglAcntAll,,31747177000,제 21 기
hybe,HYBE,01204056,352820,KRW,FY2025,2025,11011,Annual report,20260320000802,BS,재무상태표,ifrs-full_OtherCurrentFinancialLiabilities,기타유동금융부채,-,501969274000,제 19 기,2025,KRW,,324998809000,제 20 기,,,47,11011,fnlttSinglAcntAll,,336648320000,제 21 기
hybe,HYBE,01204056,352820,KRW,FY2025,2025,11011,Annual report,20260320000802,BS,재무상태표,ifrs-full_OtherCurrentLiabilities,기타유동부채,-,328576017000,제 19 기,2025,KRW,,290723903000,제 20 기,,,48,11011,fnlttSinglAcntAll,,272437454000,제 21 기
hybe,HYBE,01204056,352820,KRW,FY2025,2025,11011,Annual report,20260320000802,BS,재무상태표,ifrs-full_ShorttermBorrowings,단기차입금,-,100000000000,제 19 기,2025,KRW,,0,제 20 기,,,49,11011,fnlttSinglAcntAll,,0,제 21 기
hybe,HYBE,01204056,352820,KRW,FY2025,2025,11011,Annual report,20260320000802,BS,재무상태표,ifrs-full_Liabilities,부채총계,-,2235766519000,제 19 기,2025,KRW,,1965408202000,제 20 기,,,50,11011,fnlttSinglAcntAll,,1934017978000,제 21 기
hybe,HYBE,01204056,352820,KRW,FY2025,2025,11011,Annual report,20260320000802,BS,재무상태표,ifrs-full_NoncurrentLiabilities,비유동부채,-,463597807000,제 19 기,2025,KRW,,1134476430000,제 20 기,,,51,11011,fnlttSinglAcntAll,,1199661835000,제 21 기
